Accession,Main gene name,Main protein name,Other gene names,Other protein names
Q99952,PTPN18,PTN18_HUMAN,BDP1,Tyrosine-protein phosphatase non-receptor type 18; Brain-derived phosphatase
P09038-2,FGF2,FGF2-2_HUMAN,FGFB,Isoform 3 of Fibroblast growth factor 2; Basic fibroblast growth factor; Heparin-binding growth factor 2
P42680,TEC,TEC_HUMAN,PSCTK4,Tyrosine-protein kinase Tec
Q96PY6,NEK1,NEK1_HUMAN,KIAA1901,Serine/threonine-protein kinase Nek1; Never in mitosis A-related kinase 1; Renal carcinoma antigen NY-REN-55
Q99728,BARD1,BARD1_HUMAN,,BRCA1-associated RING domain protein 1; RING-type E3 ubiquitin transferase BARD1
P19338,NCL,NUCL_HUMAN,,Nucleolin; Protein C23
Q9NTG7,SIRT3,SIR3_HUMAN,SIR2L3,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial; Regulatory protein SIR2 homolog 3; SIR2-like protein 3"
Q06830,PRDX1,PRDX1_HUMAN,PAGA; PAGB; TDPX2,Peroxiredoxin-1; Natural killer cell-enhancing factor A; Proliferation-associated gene protein; Thioredoxin peroxidase 2; Thioredoxin-dependent peroxide reductase 2
P18031,PTPN1,PTN1_HUMAN,PTP1B,Tyrosine-protein phosphatase non-receptor type 1; Protein-tyrosine phosphatase 1B
Q96R06,SPAG5,SPAG5_HUMAN,,Sperm-associated antigen 5; Astrin; Deepest; Mitotic spindle-associated protein p126
Q9NTI5,PDS5B,PDS5B_HUMAN,APRIN; AS3; KIAA0979,Sister chromatid cohesion protein PDS5 homolog B; Androgen-induced proliferation inhibitor; Androgen-induced prostate proliferative shutoff-associated protein AS3
Q14CB8,ARHGAP19,RHG19_HUMAN,,Rho GTPase-activating protein 19; Rho-type GTPase-activating protein 19
O75122,CLASP2,CLAP2_HUMAN,KIAA0627,CLIP-associating protein 2; Cytoplasmic linker-associated protein 2; Protein Orbit homolog 2
Q14978,NOLC1,NOLC1_HUMAN,KIAA0035; NS5ATP13,Nucleolar and coiled-body phosphoprotein 1; 140 kDa nucleolar phosphoprotein; Hepatitis C virus NS5A-transactivated protein 13; Nucleolar 130 kDa protein; Nucleolar phosphoprotein p130
Q14643,ITPR1,ITPR1_HUMAN,INSP3R1,"Inositol 1,4,5-trisphosphate receptor type 1; Type 1 inositol 1,4,5-trisphosphate receptor; IP3 receptor isoform 1"
Q9Y6I3,EPN1,EPN1_HUMAN,,Epsin-1; EPS-15-interacting protein 1; EH domain-binding mitotic phosphoprotein
Q14202,ZMYM3,ZMYM3_HUMAN,DXS6673E; KIAA0385; ZNF261,Zinc finger MYM-type protein 3; Zinc finger protein 261
Q9H1A4,ANAPC1,APC1_HUMAN,TSG24,Anaphase-promoting complex subunit 1; Cyclosome subunit 1; Mitotic checkpoint regulator; Testis-specific gene 24 protein
Q8IZD2,KMT2E,KMT2E_HUMAN,MLL5,Inactive histone-lysine N-methyltransferase 2E; Myeloid/lymphoid or mixed-lineage leukemia protein 5
Q02880,TOP2B,TOP2B_HUMAN,,"DNA topoisomerase 2-beta; DNA topoisomerase II, beta isozyme"
Q7Z3J3,RGPD4,RGPD4_HUMAN,RGP4,RanBP2-like and GRIP domain-containing protein 4
Q9GZM8,NDEL1,NDEL1_HUMAN,EOPA; MITAP1; NUDEL,Nuclear distribution protein nudE-like 1; Mitosin-associated protein 1
P17096,HMGA1,HMGA1_HUMAN,HMGIY,High mobility group protein HMG-I/HMG-Y; High mobility group protein R; High mobility group AT-hook protein 1
Q16659,MAPK6,MK06_HUMAN,ERK3; PRKM6,Mitogen-activated protein kinase 6; MAP kinase isoform p97; Extracellular signal-regulated kinase 3
Q01581,HMGCS1,HMCS1_HUMAN,HMGCS,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic; 3-hydroxy-3-methylglutaryl coenzyme A synthase"
Q9NZT2,OGFR,OGFR_HUMAN,,Opioid growth factor receptor; Zeta-type opioid receptor; Protein 7-60
P50570,DNM2,DYN2_HUMAN,DYN2,Dynamin-2
O94761,RECQL4,RECQ4_HUMAN,RECQ4,"ATP-dependent DNA helicase Q4; DNA helicase, RecQ-like type 4; RTS; RecQ protein-like 4"
A6NKT7,RGPD3,RGPD3_HUMAN,RGP3,RanBP2-like and GRIP domain-containing protein 3
P62136,PPP1CA,PP1A_HUMAN,PPP1A,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit
Q38SD2,LRRK1,LRRK1_HUMAN,KIAA1790,Leucine-rich repeat serine/threonine-protein kinase 1
O43148,RNMT,MCES_HUMAN,KIAA0398,mRNA cap guanine-N7 methyltransferase; RG7MT1; mRNA (guanine-N(7)-)-methyltransferase; mRNA cap methyltransferase
P52948-2,NUP98,NUP98-2_HUMAN,ADAR2,Isoform 2 of Nuclear pore complex protein Nup98-Nup96
Q9BYG3,NIFK,MK67I_HUMAN,MKI67IP; NOPP34,MKI67 FHA domain-interacting nucleolar phosphoprotein; Nucleolar phosphoprotein Nopp34; Nucleolar protein interacting with the FHA domain of pKI-67
P63279,UBE2I,UBC9_HUMAN,UBC9; UBCE9,SUMO-conjugating enzyme UBC9; RING-type E3 SUMO transferase UBC9; SUMO-protein ligase; Ubiquitin carrier protein 9; Ubiquitin carrier protein I; Ubiquitin-conjugating enzyme E2 I; Ubiquitin-protein ligase I; p18
Q09666,AHNAK,AHNK_HUMAN,PM227,Neuroblast differentiation-associated protein AHNAK; Desmoyokin
Q96IF1,AJUBA,AJUBA_HUMAN,JUB,LIM domain-containing protein ajuba
Q13042,CDC16,CDC16_HUMAN,ANAPC6,Cell division cycle protein 16 homolog; Anaphase-promoting complex subunit 6; CDC16 homolog; Cyclosome subunit 6
O94782,USP1,UBP1_HUMAN,,Ubiquitin carboxyl-terminal hydrolase 1; Deubiquitinating enzyme 1; Ubiquitin thioesterase 1; Ubiquitin-specific-processing protease 1
P04183,TK1,KITH_HUMAN,,"Thymidine kinase, cytosolic"
Q92574,TSC1,TSC1_HUMAN,KIAA0243; TSC,Hamartin; Tuberous sclerosis 1 protein
O15446,CD3EAP,RPA34_HUMAN,ASE1; CAST; PAF49,DNA-directed RNA polymerase I subunit RPA34; A34.5; CD3-epsilon-associated protein; Antisense to ERCC-1 protein; RNA polymerase I-associated factor PAF49
Q99661,KIF2C,KIF2C_HUMAN,KNSL6,Kinesin-like protein KIF2C; Mitotic centromere-associated kinesin; Kinesin-like protein 6
Q92993,KAT5,KAT5_HUMAN,HTATIP; TIP60,Histone acetyltransferase KAT5; 60 kDa Tat-interactive protein; Histone acetyltransferase HTATIP; Lysine acetyltransferase 5; cPLA(2)-interacting protein
Q5FBB7,SGO1,SGO1_HUMAN,SGOL1,Shugoshin 1; Serologically defined breast cancer antigen NY-BR-85; Shugoshin-like 1
Q01167,FOXK2,FOXK2_HUMAN,ILF; ILF1,Forkhead box protein K2; G/T-mismatch specific binding protein; Interleukin enhancer-binding factor 1
Q9NZJ0,DTL,DTL_HUMAN,DCAF2; L2DTL; CDW1; CDT2; RAMP,Denticleless protein homolog; Retinoic acid-regulated nuclear matrix-associated protein; DDB1- and CUL4-associated factor 2; Lethal(2) denticleless protein homolog
P49915,GMPS,GUAA_HUMAN,,GMP synthase [glutamine-hydrolyzing]; Glutamine amidotransferase; GMP synthetase
P33316-2,DUT,DUT-2_HUMAN,,"Isoform 2 of Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial; dUTP pyrophosphatase"
Q5TB30,DEPDC1,DEP1A_HUMAN,DEPDC1A,DEP domain-containing protein 1A
O00443,PIK3C2A,P3C2A_HUMAN,,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha; Phosphoinositide 3-kinase-C2-alpha
O60701,UGDH,UGDH_HUMAN,,UDP-glucose 6-dehydrogenase
P43307,SSR1,SSRA_HUMAN,TRAPA; PSEC0262,Translocon-associated protein subunit alpha; Signal sequence receptor subunit alpha
Q8IWB6,TEX14,TEX14_HUMAN,SGK307,Inactive serine/threonine-protein kinase TEX14; Protein kinase-like protein SgK307; Testis-expressed sequence 14; Sugen kinase 307; Testis-expressed sequence 14 protein
P98170,XIAP,XIAP_HUMAN,API3; BIRC4; IAP3,E3 ubiquitin-protein ligase XIAP; Baculoviral IAP repeat-containing protein 4; IAP-like protein; Inhibitor of apoptosis protein 3; RING-type E3 ubiquitin transferase XIAP; X-linked inhibitor of apoptosis protein
Q04637,EIF4G1,IF4G1_HUMAN,EIF4F; EIF4G; EIF4GI,Eukaryotic translation initiation factor 4 gamma 1; p220
P48200,IREB2,IREB2_HUMAN,,Iron-responsive element-binding protein 2; Iron regulatory protein 2
O60566,BUB1B,BUB1B_HUMAN,SSK1; BUBR1; MAD3L,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta; MAD3/BUB1-related protein kinase; Mitotic checkpoint kinase MAD3L; Protein SSK1
P49459,UBE2A,UBE2A_HUMAN,RAD6A,Ubiquitin-conjugating enzyme E2 A; E2 ubiquitin-conjugating enzyme A; RAD6 homolog A; Ubiquitin carrier protein A; Ubiquitin-protein ligase A
Q08050,FOXM1,FOXM1_HUMAN,WIN; MPP2; HFH11; FKHL16,Forkhead box protein M1; Transcription factor Trident; MPM-2 reactive phosphoprotein 2; Winged-helix factor from INS-1 cells; Hepatocyte nuclear factor 3 forkhead homolog 11; M-phase phosphoprotein 2; Forkhead-related protein FKHL16
O94762,RECQL5,RECQ5_HUMAN,RECQ5,"ATP-dependent DNA helicase Q5; DNA helicase, RecQ-like type 5; RecQ protein-like 5"
Q08050-2,FOXM1,FOXM1-2_HUMAN,FKHL16; HFH11; MPP2; WIN,Isoform 2 of Forkhead box protein M1; Forkhead-related protein FKHL16; Hepatocyte nuclear factor 3 forkhead homolog 11; M-phase phosphoprotein 2; MPM-2 reactive phosphoprotein 2; Transcription factor Trident; Winged-helix factor from INS-1 cells
P18754,RCC1,RCC1_HUMAN,CHC1,Regulator of chromosome condensation; Cell cycle regulatory protein; Chromosome condensation protein 1
Q14807,KIF22,KIF22_HUMAN,KID; KNSL4,Kinesin-like protein KIF22; Kinesin-like protein 4; Kinesin-like DNA-binding protein
P15927,RPA2,RFA2_HUMAN,REPA2; RPA32; RPA34,Replication protein A 32 kDa subunit; Replication factor A protein 2; Replication protein A 34 kDa subunit
P0C1Z6,TFPT,TFPT_HUMAN,INO80F,TCF3 fusion partner; Protein FB1; INO80 complex subunit F
O43683,BUB1,BUB1_HUMAN,BUB1L,Mitotic checkpoint serine/threonine-protein kinase BUB1; BUB1A
O00571,DDX3X,DDX3X_HUMAN,DBX; DDX3,"ATP-dependent RNA helicase DDX3X; Helicase-like protein 2; DEAD box, X isoform; DEAD box protein 3, X-chromosomal"
P26368,U2AF2,U2AF2_HUMAN,U2AF65,Splicing factor U2AF 65 kDa subunit; U2 auxiliary factor 65 kDa subunit; U2 snRNP auxiliary factor large subunit
Q14CS0,UBXN2B,UBX2B_HUMAN,,UBX domain-containing protein 2B; p97 cofactor p37; NSFL1 cofactor p37
Q14739,LBR,LBR_HUMAN,,Delta(14)-sterol reductase LBR; 3-beta-hydroxysterol Delta (14)-reductase; C-14 sterol reductase; Integral nuclear envelope inner membrane protein; LMN2R; Lamin-B receptor; Sterol C14-reductase
Q9UNZ2,NSFL1C,NSF1C_HUMAN,UBXN2C,NSFL1 cofactor p47; p97 cofactor p47; UBX domain-containing protein 2C
Q8IX90,SKA3,SKA3_HUMAN,C13orf3; RAMA1,Spindle and kinetochore-associated protein 3
O15287,FANCG,FANCG_HUMAN,XRCC9,Fanconi anemia group G protein; DNA repair protein XRCC9
O60610,DIAPH1,DIAP1_HUMAN,DIAP1,Protein diaphanous homolog 1; Diaphanous-related formin-1
Q12959,DLG1,DLG1_HUMAN,,Disks large homolog 1; Synapse-associated protein 97; hDlg
P42898,MTHFR,MTHR_HUMAN,,Methylenetetrahydrofolate reductase
Q9UPU5,USP24,UBP24_HUMAN,KIAA1057,Ubiquitin carboxyl-terminal hydrolase 24; Ubiquitin thioesterase 24; Deubiquitinating enzyme 24; Ubiquitin-specific-processing protease 24
Q9UJX5,ANAPC4,APC4_HUMAN,APC4,Anaphase-promoting complex subunit 4; Cyclosome subunit 4
Q53EZ4,CEP55,CEP55_HUMAN,C10orf3; URCC6,Centrosomal protein of 55 kDa; Up-regulated in colon cancer 6
Q14C86,GAPVD1,GAPD1_HUMAN,GAPEX5; KIAA1521; RAP6,GTPase-activating protein and VPS9 domain-containing protein 1; GAPex-5; Rab5-activating protein 6
P06748,NPM1,NPM_HUMAN,NPM,Nucleophosmin; Numatrin; Nucleolar protein NO38; Nucleolar phosphoprotein B23
Q9Y2I6,NINL,NINL_HUMAN,KIAA0980; NLP,Ninein-like protein
P22392,NME2,NDKB_HUMAN,NM23B,Nucleoside diphosphate kinase B; C-myc purine-binding transcription factor PUF; Histidine protein kinase NDKB; nm23-H2
Q14157,UBAP2L,UBP2L_HUMAN,KIAA0144; NICE4,Ubiquitin-associated protein 2-like; Protein NICE-4
O75154,RAB11FIP3,RFIP3_HUMAN,ARFO1; KIAA0665,Rab11 family-interacting protein 3; EF hands-containing Rab-interacting protein; Arfophilin-1; MU-MB-17.148
Q8NCD3,HJURP,HJURP_HUMAN,FAKTS; FLEG1; URLC9,Holliday junction recognition protein; Up-regulated in lung cancer 9; 14-3-3-associated AKT substrate; Fetal liver-expressing gene 1 protein
Q5BJF6-3,ODF2,ODFP2-3_HUMAN,,Isoform 3 of Outer dense fiber protein 2; Cenexin; Outer dense fiber of sperm tails protein 2
Q9UQR0,SCML2,SCML2_HUMAN,,Sex comb on midleg-like protein 2
P33316,DUT,DUT_HUMAN,,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial; dUTP pyrophosphatase"
Q16513,PKN2,PKN2_HUMAN,PRK2; PRKCL2,Serine/threonine-protein kinase N2; Protein-kinase C-related kinase 2; Protein kinase C-like 2; PKN gamma
O00562,PITPNM1,PITM1_HUMAN,DRES9; NIR2; PITPNM,"Membrane-associated phosphatidylinositol transfer protein 1; Drosophila retinal degeneration B homolog; Phosphatidylinositol transfer protein, membrane-associated 1; Pyk2 N-terminal domain-interacting receptor 2"
Q9Y2V2,CARHSP1,CHSP1_HUMAN,,Calcium-regulated heat-stable protein 1; Calcium-regulated heat-stable protein of 24 kDa
P30305-2,CDC25B,MPIP2-2_HUMAN,CDC25HU2,Isoform 1 of M-phase inducer phosphatase 2; Dual specificity phosphatase Cdc25B
P14635,CCNB1,CCNB1_HUMAN,CCNB,G2/mitotic-specific cyclin-B1
O00311,CDC7,CDC7_HUMAN,CDC7L1,Cell division cycle 7-related protein kinase
O14773,TPP1,TPP1_HUMAN,CLN2; GIG1; UNQ267/PRO304,Tripeptidyl-peptidase 1; Cell growth-inhibiting gene 1 protein; Lysosomal pepstatin-insensitive protease; Tripeptidyl aminopeptidase; Tripeptidyl-peptidase I
P31350,RRM2,RIR2_HUMAN,RR2,Ribonucleoside-diphosphate reductase subunit M2; Ribonucleotide reductase small chain; Ribonucleotide reductase small subunit
Q9UHD8-2,SEPTIN9,SEPT9-2_HUMAN,SEPT9; MSF; KIAA0991,Isoform 2 of Septin-9; MLL septin-like fusion protein MSF-A; Ovarian/Breast septin; Septin D1
Q8WWK9,CKAP2,CKAP2_HUMAN,LB1; TMAP,Cytoskeleton-associated protein 2; CTCL tumor antigen se20-10; Tumor- and microtubule-associated protein
Q9Y5N6,ORC6,ORC6_HUMAN,ORC6L,Origin recognition complex subunit 6
O95251,KAT7,KAT7_HUMAN,HBO1; HBOa; MYST2,"Histone acetyltransferase KAT7; Histone acetyltransferase binding to ORC1; Lysine acetyltransferase 7; MOZ, YBF2/SAS3, SAS2 and TIP60 protein 2"
Q8TAP9,MPLKIP,MPLKI_HUMAN,C7orf11; TTDN1,M-phase-specific PLK1-interacting protein; TTD non-photosensitive 1 protein
P82970,HMGN5,HMGN5_HUMAN,NSBP1,High mobility group nucleosome-binding domain-containing protein 5; Nucleosome-binding protein 1
Q9UBF8,PI4KB,PI4KB_HUMAN,PIK4CB,Phosphatidylinositol 4-kinase beta; NPIK; PI4K92; PI4KIII
Q96JH7,VCPIP1,VCIP1_HUMAN,KIAA1850; VCIP135,Deubiquitinating protein VCIP135; Valosin-containing protein p97/p47 complex-interacting protein p135; Valosin-containing protein p97/p47 complex-interacting protein 1
Q99666,RGPD5,RGPD5_HUMAN,RGP5; RGP7; RANBP2L1; RGPD7,RANBP2-like and GRIP domain-containing protein 5/6; Ran-binding protein 2-like 1/2; Sperm membrane protein BS-63
Q9H4X1,RGCC,RGCC_HUMAN,C13orf15; RGC32,Regulator of cell cycle RGCC; Response gene to complement 32 protein
Q6PGQ7,BORA,BORA_HUMAN,C13orf34,Protein aurora borealis
Q9H467,CUEDC2,CUED2_HUMAN,C10orf66; HOYS6,CUE domain-containing protein 2
Q9UJX2,CDC23,CDC23_HUMAN,ANAPC8,Cell division cycle protein 23 homolog; Cyclosome subunit 8; Anaphase-promoting complex subunit 8
Q2M2I8,AAK1,AAK1_HUMAN,KIAA1048,AP2-associated protein kinase 1; Adaptor-associated kinase 1
P49916,LIG3,DNLI3_HUMAN,,DNA ligase 3; DNA ligase III; Polydeoxyribonucleotide synthase [ATP] 3
O14715,RGPD8,RGPD8_HUMAN,RANBP2L3; RANBP2L1; RANBP2ALPHA,RANBP2-like and GRIP domain-containing protein 8; Ran-binding protein 2-like 3
P35251,RFC1,RFC1_HUMAN,RFC140,Replication factor C subunit 1; Activator 1 large subunit; Activator 1 subunit 1; DNA-binding protein PO-GA; Replication factor C 140 kDa subunit; Replication factor C large subunit; Activator 1 140 kDa subunit
P17706-2,PTPN2,PTN2-2_HUMAN,PTPT,Isoform 2 of Tyrosine-protein phosphatase non-receptor type 2; T-cell protein-tyrosine phosphatase
Q9Y3Z3,SAMHD1,SAMH1_HUMAN,MOP5,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1; Dendritic cell-derived IFNG-induced protein; Monocyte protein 5; SAM domain and HD domain-containing protein 1
Q9UJ70,NAGK,NAGK_HUMAN,,N-acetyl-D-glucosamine kinase; GlcNAc kinase
O14745,SLC9A3R1,NHRF1_HUMAN,NHERF; NHERF1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1; Solute carrier family 9 isoform A3 regulatory factor 1; Sodium-hydrogen exchanger regulatory factor 1; Regulatory cofactor of Na(+)/H(+) exchanger; Ezrin-radixin-moesin-binding phosphoprotein 50
P54578,USP14,UBP14_HUMAN,TGT,Ubiquitin carboxyl-terminal hydrolase 14; Deubiquitinating enzyme 14; Ubiquitin-specific-processing protease 14; Ubiquitin thioesterase 14
P23769,GATA2,GATA2_HUMAN,,Endothelial transcription factor GATA-2; GATA-binding protein 2
Q96C19,EFHD2,EFHD2_HUMAN,SWS1,EF-hand domain-containing protein D2; Swiprosin-1
O14980,XPO1,XPO1_HUMAN,CRM1,Exportin-1; Chromosome region maintenance 1 protein homolog
P42166,TMPO,LAP2A_HUMAN,LAP2,"Lamina-associated polypeptide 2, isoform alpha; Thymopoietin-related peptide isoform alpha; Thymopoietin isoform alpha"
Q14244,MAP7,MAP7_HUMAN,,Ensconsin; Microtubule-associated protein 7; Epithelial microtubule-associated protein of 115 kDa
Q96T23,RSF1,RSF1_HUMAN,HBXAP; XAP8,Remodeling and spacing factor 1; Hepatitis B virus X-associated protein; HBV pX-associated protein 8; p325 subunit of RSF chromatin-remodeling complex
O43521-2,BCL2L11,B2L11-2_HUMAN,BIM,Isoform BimL of Bcl-2-like protein 11; Bcl2-interacting mediator of cell death
Q13188,STK3,STK3_HUMAN,KRS1; MST2,Serine/threonine-protein kinase 3; Mammalian STE20-like protein kinase 2; Serine/threonine-protein kinase Krs-1; STE20-like kinase MST2
Q96C36,PYCR2,P5CR2_HUMAN,,Pyrroline-5-carboxylate reductase 2
Q06413,MEF2C,MEF2C_HUMAN,,Myocyte-specific enhancer factor 2C; Myocyte enhancer factor 2C
O43663,PRC1,PRC1_HUMAN,,Protein regulator of cytokinesis 1
P33993,MCM7,MCM7_HUMAN,CDC47; MCM2,DNA replication licensing factor MCM7; CDC47 homolog; P1.1-MCM3
P22234,PAICS,PUR6_HUMAN,ADE2; AIRC; PAIS,Multifunctional protein ADE2
Q6Y7W6,GIGYF2,GGYF2_HUMAN,TNRC15; PERQ2; KIAA0642,GRB10-interacting GYF protein 2; PERQ amino acid-rich with GYF domain-containing protein 2; Trinucleotide repeat-containing gene 15 protein
Q2NKX8,ERCC6L,ERC6L_HUMAN,PICH,DNA excision repair protein ERCC-6-like; ATP-dependent helicase ERCC6-like; PLK1-interacting checkpoint helicase; Tumor antigen BJ-HCC-15
P13051,UNG,UNG_HUMAN,DGU; UNG1; UNG15,Uracil-DNA glycosylase
Q9Y5T5,USP16,UBP16_HUMAN,MSTP039,Ubiquitin carboxyl-terminal hydrolase 16; Deubiquitinating enzyme 16; Ubiquitin thioesterase 16; Ubiquitin-processing protease UBP-M; Ubiquitin-specific-processing protease 16
P26358,DNMT1,DNMT1_HUMAN,AIM; CXXC9; DNMT,DNA (cytosine-5)-methyltransferase 1; MCMT; DNA methyltransferase HsaI; CXXC-type zinc finger protein 9
P27361-3,MAPK3,MK03-3_HUMAN,ERK1; PRKM3,Isoform 3 of Mitogen-activated protein kinase 3; ERT2; Extracellular signal-regulated kinase 1; Insulin-stimulated MAP2 kinase; MAP kinase isoform p44; Microtubule-associated protein 2 kinase; p44-ERK1
O00399,DCTN6,DCTN6_HUMAN,WS3,Dynactin subunit 6; Protein WS-3; Dynactin subunit p27
Q9Y4H2,IRS2,IRS2_HUMAN,,Insulin receptor substrate 2
Q8TF76,HASPIN,HASP_HUMAN,GSG2,Serine/threonine-protein kinase haspin; Germ cell-specific gene 2 protein; Haploid germ cell-specific nuclear protein kinase; H-haspin
P17096-2,HMGA1,HMGA1-2_HUMAN,HMGIY,Isoform HMG-Y of High mobility group protein HMG-I/HMG-Y; High mobility group AT-hook protein 1; High mobility group protein R
P61020,RAB5B,RAB5B_HUMAN,,Ras-related protein Rab-5B
Q9H1E3,NUCKS1,NUCKS_HUMAN,NUCKS; JC7,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1; P1
O75152,ZC3H11A,ZC11A_HUMAN,KIAA0663; ZC3HDC11A,Zinc finger CCCH domain-containing protein 11A
P20338,RAB4A,RAB4A_HUMAN,RAB4,Ras-related protein Rab-4A
Q9H9S0,NANOG,NANOG_HUMAN,,Homeobox protein NANOG; Homeobox transcription factor Nanog
Q8NFH8,REPS2,REPS2_HUMAN,POB1,RalBP1-associated Eps domain-containing protein 2; Partner of RalBP1; RalBP1-interacting protein 2
P30101,PDIA3,PDIA3_HUMAN,ERP57; ERP60; GRP58,Protein disulfide-isomerase A3; Endoplasmic reticulum resident protein 60; Endoplasmic reticulum resident protein 57; Disulfide isomerase ER-60; 58 kDa microsomal protein; 58 kDa glucose-regulated protein
Q8NEB9,PIK3C3,PK3C3_HUMAN,VPS34,Phosphatidylinositol 3-kinase catalytic subunit type 3; Phosphatidylinositol 3-kinase p100 subunit; Phosphoinositide-3-kinase class 3; hVps34
Q06481,APLP2,APLP2_HUMAN,APPL2,Amyloid-like protein 2; CDEI box-binding protein; APPH; Amyloid protein homolog
Q96Q89,KIF20B,KI20B_HUMAN,KRMP1; MPHOSPH1,Kinesin-like protein KIF20B; Cancer/testis antigen 90; Kinesin family member 20B; Kinesin-related motor interacting with PIN1; M-phase phosphoprotein 1
Q13976-2,PRKG1,KGP1-2_HUMAN,PRKGR1A; PRKG1B; PRKGR1B,Isoform Beta of cGMP-dependent protein kinase 1; cGMP-dependent protein kinase I
O96013,PAK4,PAK4_HUMAN,KIAA1142,Serine/threonine-protein kinase PAK 4; p21-activated kinase 4
O00401,WASL,WASL_HUMAN,,Neural Wiskott-Aldrich syndrome protein
P18084,ITGB5,ITB5_HUMAN,,Integrin beta-5
P62826,RAN,RAN_HUMAN,ARA24; OK/SW-cl.81,GTP-binding nuclear protein Ran; Androgen receptor-associated protein 24; GTPase Ran; Ras-like protein TC4; Ras-related nuclear protein
Q93045,STMN2,STMN2_HUMAN,SCG10; SCGN10,Stathmin-2; Superior cervical ganglion-10 protein
O43255,SIAH2,SIAH2_HUMAN,,E3 ubiquitin-protein ligase SIAH2; RING-type E3 ubiquitin transferase SIAH2; Seven in absentia homolog 2
O96017,CHEK2,CHK2_HUMAN,CDS1; CHK2; RAD53,Serine/threonine-protein kinase Chk2; CHK2 checkpoint homolog; Cds1 homolog; Checkpoint kinase 2
Q9UHR4,BAIAP2L1,BI2L1_HUMAN,IRTKS,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1; Insulin receptor tyrosine kinase substrate
P61289,PSME3,PSME3_HUMAN,,Proteasome activator complex subunit 3; Ki nuclear autoantigen; Proteasome activator 28 subunit gamma; Activator of multicatalytic protease subunit 3; 11S regulator complex subunit gamma
P16403,H1-2,H12_HUMAN,H1F2; HIST1H1C,Histone H1.2; Histone H1s-1; Histone H1c; Histone H1d
P23560,BDNF,BDNF_HUMAN,,Brain-derived neurotrophic factor; Abrineurin
O60673,REV3L,REV3L_HUMAN,POLZ; REV3,DNA polymerase zeta catalytic subunit; Protein reversionless 3-like
Q08289-2,CACNB2,CACB2-2_HUMAN,CACNLB2; MYSB,Isoform 2a of Voltage-dependent L-type calcium channel subunit beta-2; Calcium channel voltage-dependent subunit beta 2; Lambert-Eaton myasthenic syndrome antigen B
P56524,HDAC4,HDAC4_HUMAN,KIAA0288,Histone deacetylase 4
P13688-8,CEACAM1,CEAM1-8_HUMAN,BGP; BGP1,Isoform 8 of Carcinoembryonic antigen-related cell adhesion molecule 1; Biliary glycoprotein 1
O15084,ANKRD28,ANR28_HUMAN,KIAA0379,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A; Ankyrin repeat domain-containing protein 28; Phosphatase interactor targeting protein hnRNP K
P43250,GRK6,GRK6_HUMAN,GPRK6,G protein-coupled receptor kinase 6; G protein-coupled receptor kinase GRK6
Q15722,LTB4R,LT4R1_HUMAN,P2RY7; CMKRL1; BLTR; BLT1; BLT; GPR16,Leukotriene B4 receptor 1; Chemoattractant receptor-like 1; G-protein coupled receptor 16; P2Y purinoceptor 7
P08069,IGF1R,IGF1R_HUMAN,,Insulin-like growth factor 1 receptor; Insulin-like growth factor I receptor
Q9BSQ5,CCM2,CCM2_HUMAN,C7orf22; PP10187,Cerebral cavernous malformations 2 protein; Malcavernin
Q9BUL8,PDCD10,PDC10_HUMAN,CCM3; TFAR15,Programmed cell death protein 10; Cerebral cavernous malformations 3 protein; TF-1 cell apoptosis-related protein 15
P17948,FLT1,VGFR1_HUMAN,VEGFR1; FLT; FRT,Vascular endothelial growth factor receptor 1; Fms-like tyrosine kinase 1; Tyrosine-protein kinase FRT; Tyrosine-protein kinase receptor FLT; Vascular permeability factor receptor
O43353,RIPK2,RIPK2_HUMAN,CARDIAK; RICK; UNQ277/PRO314/PRO34092; RIP2,Receptor-interacting serine/threonine-protein kinase 2; RIP-like-interacting CLARP kinase; Receptor-interacting protein 2; Tyrosine-protein kinase RIPK2; CARD-containing interleukin-1 beta-converting enzyme-associated kinase
Q03431,PTH1R,PTH1R_HUMAN,PTHR; PTHR1,Parathyroid hormone/parathyroid hormone-related peptide receptor; PTH/PTHrP type I receptor; Parathyroid hormone 1 receptor
P12004,PCNA,PCNA_HUMAN,,Proliferating cell nuclear antigen; Cyclin
P78324,SIRPA,SHPS1_HUMAN,SHPS1; PTPNS1; MYD1; SIRP; MFR; BIT,Tyrosine-protein phosphatase non-receptor type substrate 1; Signal-regulatory protein alpha-3; p84; Brain Ig-like molecule with tyrosine-based activation motifs; Inhibitory receptor SHPS-1; CD172 antigen-like family member A; MyD-1 antigen; Macrophage fusion receptor; Signal-regulatory protein alpha-1; Signal-regulatory protein alpha-2
