Kinase Accession,Subcellular Location
P21709,Cell membrane; Single-pass type I membrane protein;
Q5JZY3,Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Secreted;
P29317,Cytoplasm; Nucleus; Cell junction; focal adhesion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; cell cortex; Cytoplasm; Cytoplasm; cytoskeleton; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Nucleus; focal adhesion; Cytoplasm; cytosol; Cytoplasm; cytoskeleton; Membrane; Peripheral membrane protein; Cell projection; filopodium; Cell projection; lamellipodium; Nucleus; Nucleus; Nucleus speckle; ruffle; cytosol; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Cytoplasm; Nucleus; Cytoplasm; cytoskeleton; adherens junction; Cell junction; Cell junction; Cell membrane; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; spindle pole; Cell junction; synapse; cilium; cilium basal body; Cytoplasm; cytoskeleton; Cytoplasm; centriole; centrosome; spindle; spindle pole; Cell membrane; GPI-anchor; Lipid-anchor; Secreted; Cell membrane; GPI-anchor; Lipid-anchor; caveola; GPI-anchor; Lipid-anchor; Membrane; caveola; Cell membrane; Single-pass type I membrane protein; Cell projection; ruffle; ruffle membrane; Single-pass type I membrane protein; Cell projection; lamellipodium; lamellipodium membrane; Single-pass type I membrane protein; Cell junction; focal adhesion; perinuclear region; Cell membrane; Single-pass type I membrane protein;
P29320,Cell membrane; Single-pass type I membrane protein; Secreted;
P54764,Cell membrane; GPI-anchor; Lipid-anchor; Membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; axon; Cell projection; Cell projection; dendrite; Cell junction; postsynaptic density; postsynaptic density membrane; synapse; Early endosome; adherens junction; Cell junction; Cell membrane; GPI-anchor; Lipid-anchor; caveola; GPI-anchor; Lipid-anchor; Membrane; caveola; Cell membrane; Single-pass type I membrane protein; adherens junction; Cell junction;
P54756,Cell membrane; Single-pass type I membrane protein; axon; Cell projection; Cell projection; dendrite;
Q9UF33,Membrane; Single-pass type I membrane protein;
Q15375,Cell membrane; GPI-anchor; Lipid-anchor; Secreted; Cell membrane; Single-pass type I membrane protein; Cell projection; ruffle; ruffle membrane; Single-pass type I membrane protein; Cell projection; lamellipodium; lamellipodium membrane; Single-pass type I membrane protein; Cell junction; focal adhesion; perinuclear region; Cell membrane; Single-pass type I membrane protein;
P29322,Cell membrane; Single-pass type I membrane protein; Cell projection; Early endosome; Early endosome membrane;
P54762,Nucleus; Cytoplasm; Endosome; Golgi apparatus; Cytoplasm; Cell membrane; Single-pass type I membrane protein; Early endosome; Early endosome membrane; Cell projection; dendrite; Cytoplasm; Cell junction; focal adhesion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; Cytoplasmic granule; Cell projection;
P29323,Nucleus; Nucleus; Nucleus membrane; nuclear pore complex; Nucleus; nuclear pore complex; nucleoplasm; nucleoplasm; Cell membrane; Single-pass type I membrane protein; axon; Cell projection; Cell projection; dendrite;
P54753,Cell membrane; Single-pass type I membrane protein; Cell projection; dendrite;
P54760,Cell membrane; Single-pass type I membrane protein; Secreted; Cell membrane; Single-pass type I membrane protein; adherens junction; Cell junction;
O15197,Membrane; Single-pass type I membrane protein; Secreted;
P04626,Cell membrane; Single-pass type I membrane protein; Early endosome; Cytoplasm; perinuclear region; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus;
P21860,Cytoplasm; Mitochondrion; Mitochondrion matrix; Mitochondrion; Cell projection; lamellipodium; Cell projection; ruffle; ruffle; Cell junction; focal adhesion; Cell membrane; Mitochondrion; Mitochondrion inner membrane; Nucleus; Cytoplasm; cytoskeleton; Cytoplasm; perinuclear region; focal adhesion; gem; focal adhesion; focal adhesion; perinuclear region; Cytoplasm; Cell junction; focal adhesion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; stress fiber; Cytoplasm; Endoplasmic reticulum; Cell membrane; Single-pass type I membrane protein; Secreted; Nucleus; Secreted; Membrane; Single-pass type I membrane protein; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Cell membrane; Cytoplasm; cytosol; Nucleus; Cytoplasm; Endosome; Golgi apparatus; Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein; Golgi apparatus; Golgi apparatus membrane; Single-pass type I membrane protein; Nucleus; Nucleus membrane; Single-pass type I membrane protein; Endosome; Endosome; Endosome membrane; Nucleus; Secreted; Cell membrane; Single-pass type I membrane protein; Secreted; Lysosome; Lipid-anchor; Membrane; Cell projection; Lipid-anchor; podosome; podosome membrane; Cytoplasm; cytosol; Cell membrane; Lipid-anchor; caveola; Lipid-anchor; Membrane; Cell junction; focal adhesion; Cytoplasm; cytoskeleton; Golgi apparatus; Cytoplasm; Cytoplasmic vesicle; Lysosome; Nucleus; caveola; caveola; cytoskeleton; focal adhesion; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; Cytoplasm; cytosol; Cytoplasm; cytoskeleton; Cell membrane; Single-pass type I membrane protein; Nucleus; Mitochondrion; Cytoplasm; Cell membrane; Cell membrane; Single-pass type I membrane protein; Early endosome; Cytoplasm; perinuclear region; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Cell junction; focal adhesion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; Cytoplasmic granule; Cell projection;
Q15303,Cytoplasm; Mitochondrion; Mitochondrion matrix; Mitochondrion; Cytoplasm; nucleolus; Nucleus; Cytoplasm; Cytoplasm; Nucleus; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein; Golgi apparatus; Golgi apparatus membrane; Single-pass type I membrane protein; Nucleus; Nucleus membrane; Single-pass type I membrane protein; Endosome; Endosome; Endosome membrane; Nucleus; Secreted; Cell membrane; Single-pass type I membrane protein; Secreted; Cytoplasm; cytoskeleton; Cell membrane; Single-pass type I membrane protein; Nucleus; Mitochondrion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; Nucleus; Cytoplasm; Cytoplasmic side; Early endosome; Early endosome membrane; Peripheral membrane protein; Cytoplasm; Cytoplasmic side; Endosome; Endosome membrane; Peripheral membrane protein; Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; Cell junction; postsynaptic density; synapse; Cell junction; synapse; Cytoplasm; axon; Cell projection; Cell projection; dendritic spine; Cell projection; dendrite; Cell junction; presynapse; synapse; postsynaptic density; axon; synapse; Cell membrane; Single-pass type I membrane protein; Early endosome; Cytoplasm; perinuclear region; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus;
P16591,Cytoplasm; Cytoplasm; Cytoplasm; cytoskeleton; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell projection; Cell junction; Cytoplasm; Cytoplasmic side; Membrane; Peripheral membrane protein; Nucleus; cell cortex; Cytoplasm; cell cortex;
P07332,Apical cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell projection; Cell projection; Cytoplasm; Cytoplasmic side; microvillus; microvillus membrane; Peripheral membrane protein; Cell projection; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; ruffle; ruffle membrane; cell cortex; Cytoplasm; Cytoplasm; cytoskeleton; Cell projection; microvillus; Nucleus; Cytoplasm; cytoskeleton; spindle; Chromosome; telomere; spindle; Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasm; cytosol; Cytoplasm; cytoskeleton; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; Cytoplasmic vesicle; Golgi apparatus; Cell junction; focal adhesion; cytosol; focal adhesion; Nucleus; Cytoplasm;
P11362,Cell projection; lamellipodium; Cell projection; ruffle; ruffle; Cell projection; lamellipodium; Cell projection; ruffle; ruffle; Cell membrane; Single-pass type I membrane protein; Apical cell membrane; Single-pass type I membrane protein; Secreted; Secreted; Cell membrane; Multi-pass membrane protein; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; Cytoplasmic vesicle; Cytoplasm; cytoskeleton; Nucleus; Cytoplasm; Cell membrane; Peripheral membrane protein; adherens junction; Cell junction; Cell membrane; Single-pass type I membrane protein; Endosome; Golgi apparatus; trans-Golgi network; Golgi apparatus; Secreted; Cytoplasm; cell cortex; Cytoplasm; Cytoplasm; cytosol; Nucleus; Secreted; cytosol; cytosol; Cytoplasm; Nucleus; Cytoplasm; cytoskeleton; adherens junction; Cell junction; Cell junction; Cell membrane; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; spindle pole; Cell junction; synapse; cilium; cilium basal body; Cytoplasm; cytoskeleton; Cytoplasm; centriole; centrosome; spindle; spindle pole; Cytoplasm; Endosome; Endosome membrane; Peripheral membrane protein; Cell membrane; Peripheral membrane protein; Secreted; extracellular space; Secreted; Cell membrane; Single-pass type I membrane protein; Nucleus; Cytoplasm; cytosol; Cytoplasm; Cytoplasmic vesicle; cytosol; Golgi apparatus; Cytoplasm; Cell membrane; Secreted; Nucleus; cytosol; cytosol;
P21802,Nucleus; Cytoplasm; Endosome; Golgi apparatus; Secreted; Cytoplasm; cell cortex; Cytoplasm; Cytoplasm; cytosol; Nucleus; Secreted; cytosol; cytosol; Cell membrane; Single-pass type I membrane protein; Golgi apparatus; Cytoplasm; Cytoplasmic vesicle; Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Secreted; Secreted; Secreted; Secreted; Cytoplasm; cell cortex; Cytoplasm; Cytoplasm; cytosol; Nucleus; Secreted; cytosol; cytosol; Secreted; Nucleus; cytosol; cytosol;
P22607,Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasmic vesicle; Endoplasmic reticulum; Cell membrane; Single-pass type I membrane protein; Secreted; Cell membrane; Single-pass type I membrane protein;
P22455,Cell membrane; Single-pass type I membrane protein; Endosome; Endoplasmic reticulum; Secreted; Cytoplasm; Membrane; Single-pass type I membrane protein; Melanosome; Cytoplasm;
P09769,Membrane; Single-pass type I membrane protein; Secreted; Cytoplasm; Nucleus; Nucleus matrix; Nucleus; Nucleus membrane; Peripheral membrane protein; cytosol; Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein; Golgi apparatus; Golgi apparatus membrane; Single-pass type I membrane protein; Nucleus; Nucleus membrane; Single-pass type I membrane protein; Endosome; Endosome; Endosome membrane; Nucleus; Secreted; Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell projection; ruffle; ruffle membrane; Cytoplasm; cytosol; Cytoplasm; cytoskeleton; Mitochondrion; Mitochondrion inner membrane; Mitochondrion; Mitochondrion intermembrane space; ruffle; Cell membrane; Single-pass type I membrane protein; Early endosome; Cytoplasm; perinuclear region; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Nucleus; Cytoplasm;
P17948,Cell membrane; Single-pass type I membrane protein; Endosome; Secreted; Secreted; Secreted; Cytoplasm; Cytoplasm; Cytoplasm;
P36888,Membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum lumen; Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; Cytoplasm; Cytoplasm; Nucleus; Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic vesicle; Late endosome; Cell membrane; Single-pass type I membrane protein; Cell projection; ruffle; ruffle membrane; Cell junction; synapse; Cytoplasm; Nucleus; Cell membrane; Cell membrane; Cytoplasm; cytosol; Cytoplasm; cytoskeleton; Nucleus; Mitochondrion; Lipid-anchor; Nucleus; Nucleus membrane; Cytoplasm; cytoskeleton; Cytoplasm; Cytoplasm; Cell membrane;
P35916,Cell junction; Endoplasmic reticulum; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Nucleus; Cytoplasm; Cytoplasmic vesicle; Early endosome; caveola; Secreted; Secreted; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Nucleus; Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Secreted; Cytoplasm; Secreted; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted;
P42685,Nucleus; Cytoplasm; Nucleus; Nucleus; PML body; Secreted; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; perinuclear region;
P06241,Nucleus; Cytoplasm; Membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum lumen; extracellular matrix; extracellular space; Secreted; Cell membrane; Multi-pass membrane protein; Endomembrane system; Single-pass type I membrane protein; adherens junction; Cell junction; Cell projection; cilium; flagellum; acrosome; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; trans-Golgi network; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass membrane protein; Host; Host mitochondrion; Host mitochondrion membrane; Single-pass type I membrane protein; Host; Host lipid droplet; Virion; Host; Host cytoplasm; Host; Host nucleus; Secreted; Single-pass type I membrane protein; Virion; Virion membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Single-pass type I membrane protein; Virion; Virion membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Multi-pass membrane protein; Host; Host mitochondrion; Host; Host cell; Host cell membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Multi-pass membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Peripheral membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Host; Host membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Multi-pass membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Peripheral membrane protein; Host; Host cytoplasm; host perinuclear region; perinuclear region; Host; Host mitochondrion; Host; Host membrane; Host; Host cytoplasm; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Host; Host membrane; Cytoplasm; Cell membrane; Peripheral membrane protein; synapse; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass membrane protein; Host; Host mitochondrion; Host mitochondrion membrane; Single-pass type I membrane protein; Host; Host lipid droplet; Virion; Host; Host cytoplasm; Host; Host nucleus; Secreted; Single-pass type I membrane protein; Virion; Virion membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Single-pass type I membrane protein; Virion; Virion membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Multi-pass membrane protein; Host; Host cell; Host cell membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Multi-pass membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Peripheral membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Host; Host membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Multi-pass membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Peripheral membrane protein; Host; Host cytoplasm; host perinuclear region; perinuclear region; Host; Host mitochondrion; Host; Host membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Host; Host membrane; Nucleus; Cytoplasm; Membrane; Peripheral membrane protein; Nucleus; ruffle; Cell membrane; Single-pass type II membrane protein; Cytoplasm; Cytoplasmic vesicle; Cytoplasmic vesicle lumen; Lysosome; Lysosome lumen; Secreted; Nucleus; Cytoplasm; cytosol; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; cytoskeleton; axon; Cell projection; Cell projection; dendrite; axon; cytosol; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass membrane protein; Host; Host mitochondrion; Host mitochondrion membrane; Single-pass type I membrane protein; Host; Host lipid droplet; Virion; Host; Host cytoplasm; Host; Host nucleus; Secreted; Single-pass type I membrane protein; Virion; Virion membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Single-pass type I membrane protein; Virion; Virion membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Multi-pass membrane protein; Host; Host cell; Host cell membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Multi-pass membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Peripheral membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Host; Host membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Multi-pass membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Peripheral membrane protein; Host; Host cytoplasm; host perinuclear region; perinuclear region; Host; Host mitochondrion; Host; Host membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Host; Host membrane; Cell junction; postsynaptic density; synapse; Cell projection; dendritic spine; cell cortex; Cytoplasm; Endosome; Endosome membrane; Golgi apparatus; Golgi apparatus membrane; Endoplasmic reticulum; Endoplasmic reticulum membrane; Membrane; dendritic spine; postsynaptic density; Cytoplasm; Cytoplasm; perinuclear region; Nucleus; Cell membrane; Peripheral membrane protein; Cell membrane; Single-pass type III membrane protein; Membrane; Single-pass type I membrane protein; Early endosome; Nucleus; Cytoplasm; Membrane; Cytoplasm; cytosol; Melanosome; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; extracellular exosome; Secreted; Cell junction; tight junction; Midbody; Midbody ring; centrosome; tight junction; Cytoplasm; Nucleus; Cell membrane; Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Nucleus; Cytoplasm; Membrane; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasmic vesicle; Lysosome; Lysosome lumen; Cell membrane; Single-pass membrane protein; Cell membrane; Single-pass membrane protein; Cytoplasm; cytoskeleton; Cytoplasm; Nucleus; Cell junction; Cell membrane; Multi-pass membrane protein; Cytoplasm; Cytoplasm; perinuclear region; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell junction; focal adhesion; Cell projection; lamellipodium; cell cortex; Cytoplasm; Nucleus; Cytoplasm; cytoskeleton; Cell projection; ruffle; Cell junction; ruffle; Cell junction; focal adhesion; Cytoplasm; Cell membrane; Single-pass type I membrane protein; Early endosome; Cytoplasm; perinuclear region; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus;
P08631,Host; Host cytoplasm; Cytoplasm; Cytoplasmic side; Host; Host cell; Host cell membrane; Peripheral membrane protein; Virion; Cytoplasm; cytoskeleton; Nucleus; Endomembrane system; Single-pass type I membrane protein; adherens junction; Cell junction; Cell projection; cilium; flagellum; acrosome; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; trans-Golgi network; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass membrane protein; Host; Host mitochondrion; Host mitochondrion membrane; Single-pass type I membrane protein; Host; Host lipid droplet; Virion; Host; Host cytoplasm; Host; Host nucleus; Secreted; Single-pass type I membrane protein; Virion; Virion membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Single-pass type I membrane protein; Virion; Virion membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Multi-pass membrane protein; Host; Host mitochondrion; Host; Host cell; Host cell membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Multi-pass membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Peripheral membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Host; Host membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Multi-pass membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Peripheral membrane protein; Host; Host cytoplasm; host perinuclear region; perinuclear region; Host; Host mitochondrion; Host; Host membrane; Host; Host cytoplasm; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Host; Host membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass membrane protein; Host; Host mitochondrion; Host mitochondrion membrane; Single-pass type I membrane protein; Host; Host lipid droplet; Virion; Host; Host cytoplasm; Host; Host nucleus; Secreted; Single-pass type I membrane protein; Virion; Virion membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Single-pass type I membrane protein; Virion; Virion membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Multi-pass membrane protein; Host; Host cell; Host cell membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Multi-pass membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Peripheral membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Host; Host membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Multi-pass membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Peripheral membrane protein; Host; Host cytoplasm; host perinuclear region; perinuclear region; Host; Host mitochondrion; Host; Host membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Host; Host membrane; Cell projection; lamellipodium; Cell projection; ruffle; ruffle; Cytoplasm; Cytoplasmic side; Host; Host cell; Host cell membrane; Lipid-anchor; Virion; Secreted; Golgi apparatus; Golgi apparatus membrane; Host; Host Golgi apparatus; Host Golgi apparatus membrane; Cytoplasm; cytoskeleton; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Nucleus matrix; Nucleus; Nucleus membrane; Peripheral membrane protein; cytosol; Cell membrane; Single-pass type I membrane protein; Endosome; Secreted; Secreted; Secreted; Cytoplasm; Cytoplasm; Cytoplasm; Secreted; Cytoplasm; Cytoplasm; Cytoplasmic vesicle; Cytoplasm; cytoskeleton; Cell projection; ruffle; Vesicle; stress fiber; Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasm; Membrane; Cytoplasm; cytosol; Melanosome; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; extracellular exosome; Secreted; Cell junction; tight junction; Midbody; Midbody ring; centrosome; tight junction; Cytoplasm; Nucleus; Cytoplasm; perinuclear region; Lipid-anchor; Membrane; perinuclear region; Nucleus; Cytoplasm; Membrane; Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein; Golgi apparatus; Golgi apparatus membrane; Single-pass type I membrane protein; Nucleus; Nucleus membrane; Single-pass type I membrane protein; Endosome; Endosome; Endosome membrane; Nucleus; Secreted; Cell membrane; Single-pass type I membrane protein; Secreted; Lysosome; Lipid-anchor; Membrane; Cell projection; Lipid-anchor; podosome; podosome membrane; Cytoplasm; cytosol; Cell membrane; Lipid-anchor; caveola; Lipid-anchor; Membrane; Cell junction; focal adhesion; Cytoplasm; cytoskeleton; Golgi apparatus; Cytoplasm; Cytoplasmic vesicle; Lysosome; Nucleus; caveola; caveola; cytoskeleton; focal adhesion; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; Cytoplasm; cytosol; Cytoplasm; Cell membrane; Cytoplasm; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein; Golgi apparatus; Peripheral membrane protein; trans-Golgi network; trans-Golgi network membrane; Cell junction; synapse; Cell junction; postsynaptic density; synapse; Cell projection; dendrite; dendrite; trans-Golgi network;
P08069,Cytoplasm; Nucleus; Cytoplasm; Mitochondrion; Mitochondrion matrix; Mitochondrion; Secreted; Cytoplasm; Cell membrane; Secreted; Cytoplasm; Cytoplasm; Nucleus; Nucleus; Cytoplasm; cytosol; Lipid-anchor; Membrane; Cytoplasm; Cytoplasmic side; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Secreted; Nucleus; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Nucleus; Cytoplasm; cytoskeleton; adherens junction; Cell junction; Cell junction; Cell membrane; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; spindle pole; Cell junction; synapse; cilium; cilium basal body; Cytoplasm; cytoskeleton; Cytoplasm; centriole; centrosome; spindle; spindle pole; nucleoplasm; Nucleus; Cytoplasm; nucleolus; Nucleus; nucleoplasm; nucleolus; Cytoplasm; Cell membrane; Cytoplasm; Cell membrane; Lipid-anchor; Endoplasmic reticulum; Golgi apparatus; Nucleus; Cytoplasm; Membrane;
P06213,Cytoplasm; Mitochondrion; Mitochondrion matrix; Mitochondrion; Cytoplasm; Nucleus; Cytoplasm; Secreted; Cell projection; lamellipodium; Cell projection; ruffle; ruffle; Cytoplasm; Nucleus; Cell membrane; Single-pass type I membrane protein; Cytoplasm; perinuclear region; Cytoplasm; perinuclear region; Cytoplasm; Membrane; Nucleus; Cytoplasm; Cytoplasmic side; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Secreted; Cell membrane; Single-pass type I membrane protein; Late endosome; Lysosome; Cytoplasm; Cytoplasm; Nucleus; Intermembrane side; Mitochondrion; Mitochondrion inner membrane; Peripheral membrane protein; Cell membrane; Single-pass type II membrane protein; Basolateral cell membrane; Single-pass type II membrane protein; Secreted; Secreted;
P14616,Membrane; Single-pass type I membrane protein;
Q08881,Cell membrane; Single-pass type II membrane protein; Cytoplasm; Cytoplasmic vesicle; Cytoplasmic vesicle lumen; Lysosome; Lysosome lumen; Secreted; Nucleus; Cytoplasm; Cytoplasm; Nucleus; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Cell membrane; Single-pass type I membrane protein; Early endosome; Cytoplasm; perinuclear region; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus;
P23458,Cell membrane; Single-pass type I membrane protein; Secreted; Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Secreted; Endomembrane system; Peripheral membrane protein; Cytoplasm; Nucleus; Endomembrane system; Peripheral membrane protein; Cell membrane; Single-pass type I membrane protein; Early endosome; Cytoplasm; perinuclear region; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus;
